word,meaning
calf,"종아리, 송아지, 새끼"
thermal,"열의, 보온성이 좋은"
cart,"수레, 손수레, 쇼핑 카트"
statute,"법규, 규정"
bronze,"청동, 구릿빛, 청동으로 만든 작품"
maid,"하녀[가정부], 처녀"
miner,광부
compute,"계산, 산출"
remarkably,"두드러지게, 현저하게, 몹시"
flaw,"결함, 흠, 결점[결함]"
analogy,"비유, 유추"
adaptation,"각색, 적응"
confidently,"확신을 갖고, 자신 있게"
constituency,"선거구, 선거구민[유권자들]"
dispose,배치하다
breakdown,"고장, 실패[결렬/와해]"
skilfully,"익숙하게, 솜씨 있게"
vein,"정맥, 잎맥, 돌결, 광맥"
precision,"정확, 정밀, 신중함"
dessert,"디저트, 후식"
builder,"건축업자, …을 만드는[개발하는] 사람[것]"
whatsoever,…한 어떤 것
academy,"학교, 학술원, 중등학교"
coincidence,"우연의 일치, 동시 발생[존재]"
halt,"멈추다, 주저하다, 이) 불완전하다"
prosperity,"번영, 번성, 번창"
devastate,"완전히 파괴하다, 엄청난 충격을 주다"
unexpectedly,"뜻밖에, 예상외로, 갑자기"
novelist,소설가
surplus,나머지
evoke,떠올려 주다[환기시키다]
manuscript,"원고, 필사본"
countless,"무수한, 셀 수 없이 많은"
intensive,"집중적인, 철두철미한"
spotlight,"스포트라이트, 환한 조명"
flourish,"번창하다, 잘 자라다, 흔들어 대다"
aspiration,"열망, 대기음[기식음] 발음"
copper,"구리, 동전, 경찰관"
justification,타당한[정당한] 이유
audio,녹음의
banner,"플래카드, 제1면 전단에 걸친 큰 표제"
discard,버리다
mob,"군중[무리], 무리[떼]"
pathway,"좁은 길 , 경로"
predominantly,"대개, 대부분"
handy,"유용한, 가까운[이용하기 편한] 곳에 있는"
independently,"독립하여, 자주적으로"
jar,"병, 단지[항아리], 맥주 한 잔"
streak,"구석[데],연속,줄"
humor,"유머, 기분"
bolt,"빗장, 볼트, 번쩍하는 번개"
seller,"파는 사람, 잘 팔리는/잘 안 팔리는 상품"
vice,"범죄, 악, 악덕 행위"
paid,유급의
hardline,"강경한 태도, 강경책"
whichever,"어느 쪽이든 …한 것, 어느 …이든"
preservation,"보존[보호/유지], 지키기[유지]"
charming,"매력적인, 대단한"
viewpoint,"관점[시각], 방향"
worthwhile,가치[보람] 있는
worm,"벌레, 기생충, 애벌레"
fabulous,"기막히게 좋은[멋진], 엄청난"
adverse,"부정적인, 불리한"
intensify,"심해지다, 격렬해지다"
shatter,산산이 부서지다
supplement,"보충[추가], 증보판, 부록"
prospective,"장래의, 곧 있을"
escalate,확대[증가/악화]되다[시키다]
notorious,악명 높은
damaging,손상[피해/훼손/악영향]을 주는
convincing,"설득력 있는, 확실한"
assassination,"암살, 훼손"
accumulate,"모으다, 늘어나다[모이다]"
composer,작곡가
clarity,"명료성, 명확성, 선명도[투명도]"
collision,"충돌 , 충돌"
indulge,"마음껏 하다, 채우다[충족시키다]"
declaration,"선언문[서], 맹세[진술]"
completion,"완료, 매매 실현[완료]"
accordance,"일치, 인가"
absurd,"우스꽝스러운, 터무니없는"
attain,"이루다[획득하다], 이르다[달하다]"
manifest,나타내다[드러내 보이다]
mobility,"유동성, 이동성"
corrupt,"부패한, 부정직한, 오류가 생긴"
Islam,"이슬람교, 이슬람 세계"
aversion,"아주 싫어함, 혐오감"
traveler,"여행자 , 외교원, 트래블러"
starter,"전채 요리, 선수[참가자]"
alley,"오솔길, 골목, 경기장"
graduation,"졸업, 졸업식"
marble,"대리석, 구슬, 구슬치기"
soften,"부드러워지다, 부드러워[유연해/은은해]지다"
foolish,"어리석은, 바보 같은"
reproduction,"생식, 복사, 재생, 복제품"
inhabitant,주민[서식 동물]
duke,"공작, 통치자 [군주]"
villager,마을 사람
stall,"가판대, 마구간[외양간]"
trophy,"트로피, 전리품"
humanitarian,"인도주의적인, 인도주의의"
fundamentally,"근본[본질]적으로, 기본적으로"
passive,수동태
collaborate,"협력하다, 협력하다"
complication,"문제, 합병증"
subscription,"구독료, 기부금[사용료/회비]"
bleed,"피를 흘리다, 피를 뽑다"
destructive,파괴적인
confirmation,"확인, 견진 성사, 유대교에서 16세 이상의 청소년을"
parliamentary,"의회의, 의회가 있는"
martial,"싸움의, 전쟁의"
disruption,"붕괴, 분열, 중단"
contradiction,"모순, 반박"
compensate,"보상하다, 보상금을 주다"
militant,"공격적인, 전투적인"
angrily,"노하여, 성나서, 화내어"
fairness,"공정성, 옅은[흰] 색"
disclosure,"폭로, 밝혀진[드러난] 사실[내용]"
detain,"구금[억류]하다, 붙들다"
discretion,"재량, 신중함"
comparative,"비교를 통한, 상대적인"
conceal,"감추다, 숨기다"
congregation,신자[신도]들
courtesy,"공손함, 예의상 하는 말[행동]"
abolish,"폐지하다, 파괴하다, 없애다"
accumulation,"축적, 축적물, 동시 취득하기"
verse,"운문, 연, 시, 절"
thesis,"학위 논문, 논지"
kidney,신장
injection,"주사, 자금 투입, 주입"
insufficient,불충분한
induce,"설득하다, 유발[초래]하다"
arbitrary,"임의적인, 전횡을 일삼는"
designate,"지정[지적]하다, 지명하다"
elevate,"승진[승격]시키다, 올리다"
mainland,본토
lesser,"더 적은[작은], 덜한"
revive,활기를 되찾다[되찾게 하다]
probe,"캐묻다, 살피다[탐사/탐색하다]"
explosive,"폭발물, 폭약"
interference,"간섭, 전파 방해"
couch,긴 의자 유의어 settee
forehead,"이마, 앞부분"
ranch,목장
northeast,북동
shrimp,"새우, 구운 새우"
ass,"금기어, 멍청이, 당나귀"
breeze,"산들바람, 식은 죽 먹기"
metropolitan,"대도시[수도]의, 본국의"
booth,"작은 공간, 점포, 칸막이된 자리"
tray,"쟁반, 상자"
specialty,"전문, 특제품, 신제품, 특색"
blink,"눈을[눈이] 깜박이다, 깜박거리다[깜박이다]"
sprinkle,"뿌리다, 간간이 섞다[포함시키다]"
favorable,"호의적인, 유리한, 좋은"
bulb,"전구, 구근, 동그란 부분[것]"
cult,"추종[숭배], 광신적[사이비] 종교 집단"
remedy,"처리 방안, 치료, 구제 방법"
crude,"대충의, 대충 만든, 막된"
strait,"해협, 궁핍[곤경]"
butterfly,"나비, 접영, 버터플라이"
roar,으르렁거리다[포효하다]
skillful,"숙련된 , 잘 만들어진"
good-bye,안녕
inquire,"묻다, 질문을 하다, 조사하다"
cock,"수탉, 수컷, 멧도요"
laundry,"세탁물, 세탁소"
betray,"넘겨주다[팔아먹다], 배신[배반]하다"
monopoly,"독점, 독차지, 모노폴리"
evacuate,"대피[소개, 떠나다, 비우다"
correlate,연관성[상관관계]이 있다
animation,"생기, 만화 영화[동영상] 제작"
revival,"회복, 부활, 부흥"
clash,"맞붙다[격돌하다], 의견 충돌을 일으키다"
memoir,"회고록, 전기[체험기/회상록]"
terminal,"공항 터미널, 종착역, 단말기"
battlefield,"싸움터, 논쟁거리"
defy,"반항[저항/거역]하다, 믿기가"
exert,"가하다[행사하다], 있는 힘껏 노력하다"
theatrical,"연극[공연]의, 연극조의"
visa,"비자, 사증"
certainty,"확실한 것, 확실성"
discharge,"떠나는 것을 허락하다, 석방[방면]하다"
subscriber,"구독자, 기부자[후원자]"
pirate,"해적, 저작권 침해자[불법 복제자/해적 행위자]"
navigation,"[항해][운항/조종], 운항"
permanently,"영구히, 불변으로"
uphold,유지시키다[옹호하다]
magnificent,참으로 아름다운[감명 깊은/훌륭한]
faintly,"희미하게, 어렴풋이, 힘없이"
warfare,"전투[-전], 전쟁[싸움]"
intermediate,"중간의, 중급의"
torture,"고문하다, 고문하듯 하다"
thirteenth,"제13의, 13분의 1의"
sufficiently,"충분히, 충분할 만큼"
ballet,"발레, 발레단"
gorgeous,아주 멋진[아름다운/좋은]
consolidate,"굳히다[강화하다], 통합하다[되다]"
coordination,"조직, 조정력"
restoration,"복원[복구], 부활, 회복"
awkwardly,"어색하게, 서투르게, 어설프게"
integral,"필수적인, 일부로 들어가[포함되어] 있는"
coincide,"동시에 일어나다, 일치하다"
accordingly,"부응해서, 그런 이유로"
amateur,"아마추어 선수, 비전문가"
bail,"보석, 베일"
exceptional,"이례적일 정도로 우수한, 극히 예외적인"
fourteenth,"열네, 14분의 1의"
dictator,"독재자, 독재자 같은[군림하려 드는] 사람"
dismissal,"해고, 묵살, 기각, 물러가게 함[보냄]"
delete,삭제하다
decisive,"결정적인, 결단력[과단성] 있는"
nominate,"지명[추천]하다, 임명[지명]하다"
misery,"고통, 빈곤, 불평이 많은 사람"
recount,"이야기하다[말하다], 다시 세다"
query,"문의, 물음표"
imminent,금방이라도 닥칠 듯한
indictment,"폐단의 흔적, 고발장, 기소"
heighten,고조되다[고조시키다]
liable,"법적 책임이 있는, ~하기 쉬운"
successor,"후임자, 계승자, 계승하는 것"
specimen,"견본, 표본, 시료"
cocktail,"칵테일, 혼합제"
complement,"보완하다, 덧붙이다"
exile,"망명, 망명자"
revenge,"복수, 스포츠"
usage,"용법[어법/사용], 사용"
overseas,해외[외국/국외]의
manipulation,"교묘한 처리, 시장 조작"
inspect,"점검[검사]하다, 사찰[순시]하다"
cynical,"냉소적인, 부정적인, 자기 이익만 생각하는"
neglect,"방치하다, 도외시하다, 하지 않다[잊어버리다]"
hay,"건초, 적은 돈"
publisher,"출판인, 출판사"
